order_id,customer_id,order_date,ship_date,status,total_amount,payment_method,notes
100001,1654,2023-04-25,2023-04-29,returned,-892.72,paypal,
100002,1223,27-Aug-2023,05-Sep-2023,shipped,451.96,pix,
100003,1777,05/04/2025,11/04/2025,delivered,339.91,credit_card,fragile
100004,1867,19-Dec-2023,20-Dec-2023,pending,922.68,credit_card,delay_expected
100005,1643,09-25-2024,07/10/2024,delivered,985.30,boleto,
100006,1284,04-09-2024,04-15-2024,delivered,685.13,credit_card,delay_expected
100007,1546,16/01/2025,23-Jan-2025,shipped,327.66,credit_card,first-time customer
100008,1824,2023/11/20,24-Nov-2023,delivered,318.10,paypal,fragile
100009,1658,14/04/2024,18-Apr-2024,shipped,586.66,paypal,priority
100010,1141,2024/06/05,,pending,114.10,boleto,
100011,1610,2023/03/07,15-Mar-2023,delivered,16.42,credit_card,gift_wrap
100012,1768,10-01-2023,2023-10-08,delivered,876.47,pix,delay_expected
100013,1519,2025-07-23,28-Jul-2025,cancelled,157.08,boleto,delay_expected
100014,1944,2024-06-27,07-05-2024,delivered,832.51,pix,first-time customer
100015,1899,2024-08-03,,shipped,73.87,boleto,first-time customer
100016,1969,16/07/2024,30/07/2024,delivered,756.49,boleto,gift_wrap
100017,1687,10-27-2024,05/11/2024,shipped,341.40,boleto,delay_expected
100018,1072,2024-12-25,2024-12-26,shipped,282.08,paypal,first-time customer
100019,1740,15-Aug-2025,2025/08/19,pending,101.45,paypal,priority
100020,1478,2025-06-03,2025/06/14,delivered,801.59,credit_card,first-time customer
100021,1549,04/04/2024,2024-04-09,shipped,862.04,credit_card,
100022,1553,2025-05-06,19/05/2025,shipped,483.95,paypal,
100023,1002,02-04-2024,2024/02/17,returned,731.85,paypal,first-time customer
100024,1222,2025-09-18,09-27-2025,pending,586.26,boleto,
100025,1082,21/05/2025,,pending,862.51,paypal,
100026,1583,10-Sep-2023,20-Sep-2023,shipped,319.79,pix,first-time customer
100027,1321,09-02-2023,2023/09/13,shipped,753.11,credit_card,
100028,1576,2023-04-13,04-22-2023,delivered,879.87,pix,priority
100029,1853,07-10-2024,2024-07-23,returned,556.83,credit_card,first-time customer
100030,1911,20-Apr-2023,04-25-2023,shipped,636.07,pix,delay_expected
100031,1927,2025-07-18,,shipped,280.30,credit_card,priority
100032,1652,26/09/2023,05-Oct-2023,pending,79.87,boleto,delay_expected
100033,1378,19-Aug-2024,08-22-2024,delivered,797.14,credit_card,priority
100034,1255,2024-11-13,2024/11/22,delivered,750.73,boleto,
100035,1819,10/04/2025,04-11-2025,delivered,414.65,boleto,priority
100036,1718,2023/04/21,05/05/2023,delivered,463.00,pix,
100037,1233,2023-08-17,2023-08-24,delivered,282.73,paypal,gift_wrap
100038,1549,2023-12-06,12-11-2023,pending,598.59,pix,gift_wrap
